customer_id,registered_date,first_order_date,days_to_first_order
C903932L,02-11-2021,11-10-2021,-22
C494276L,20-11-2021,25-11-2021,5
C477890L,25-11-2021,19-07-2022,236
C901131L,02-01-2022,21-01-2022,19
C694728L,28-01-2022,01-09-2022,216
C320667L,11-11-2021,17-11-2021,6
C717684L,05-05-2022,22-05-2022,17
C698317L,14-12-2021,25-01-2022,42
C488097L,13-07-2021,22-07-2021,9
C404142L,08-11-2021,12-06-2021,-149
C621738L,27-06-2022,29-06-2022,2
C935675L,09-09-2021,19-09-2021,10
C551481L,12-11-2021,07-01-2022,56
C685669L,24-07-2021,08-02-2021,-166
C294431L,19-12-2021,12-06-2021,-190
C504588L,01-09-2021,17-07-2022,319
C992621L,17-11-2021,01-01-2022,45
C394914L,07-12-2021,12-12-2021,5
C731475L,15-07-2021,13-07-2021,-2
C263949L,15-11-2021,13-11-2021,-2
C180415L,18-07-2021,07-01-2021,-192
C541932L,05-06-2022,18-07-2022,43
C344377L,06-06-2022,06-09-2022,92
C420548L,06-09-2021,09-03-2021,-181
C727494L,24-05-2022,29-05-2022,5
C361180L,05-08-2021,08-07-2021,-28
C992037L,21-11-2021,11-08-2021,-102
C116160L,05-05-2022,05-10-2022,153
C471753L,27-11-2021,15-02-2022,80
C865334L,24-04-2022,22-04-2022,-2
C247915L,25-10-2021,10-06-2021,-137
C274456L,28-11-2021,13-08-2022,258
C357173L,01-08-2022,08-04-2022,-115
C949023L,27-11-2021,19-12-2021,22
C531952L,16-06-2022,23-06-2022,7
C988568L,24-08-2021,19-12-2021,117
C603530L,28-07-2021,08-04-2021,-111
C247150L,05-07-2021,07-06-2022,337
C469380L,15-06-2022,18-06-2022,3
C766635L,17-08-2021,24-08-2021,7
C649461L,21-07-2021,08-01-2021,-194
C320654L,06-11-2021,12-08-2021,-86
C330571L,21-01-2022,05-11-2022,288
C939631L,22-09-2021,16-10-2021,24
C755090L,22-08-2021,09-10-2021,48
C600944L,24-02-2022,04-06-2022,100
C359839L,16-08-2021,16-12-2021,122
C553551L,25-02-2022,02-05-2022,66
C781213L,23-08-2021,08-04-2021,-137
C994467L,15-03-2022,24-03-2022,9
C658145L,13-07-2021,18-11-2021,128
C522805L,17-02-2022,18-02-2022,1
C848357L,02-07-2021,23-07-2021,21
C605755L,24-07-2021,09-07-2021,-15
C698097L,15-07-2021,09-05-2021,-67
C511061L,17-05-2022,19-06-2022,33
C296709L,18-02-2022,03-03-2022,13
C862573L,09-08-2021,18-08-2021,9
C725701L,02-02-2022,02-11-2022,273
C868378L,18-08-2021,16-08-2021,-2
C324310L,01-08-2021,28-08-2021,27
C545190L,26-07-2021,18-07-2021,-8
C604951L,19-09-2021,09-02-2021,-222
C805055L,15-08-2021,24-08-2021,9
C406990L,12-09-2021,09-04-2021,-156
C331978L,23-11-2021,08-12-2022,380
C683691L,13-03-2022,04-01-2022,-68
C807422L,22-11-2021,17-05-2022,176
C482428L,26-10-2021,11-09-2021,-45
C413128L,25-07-2022,18-07-2022,-7
C880014L,11-07-2022,13-07-2022,2
C555100L,19-12-2021,22-12-2021,3
C557314L,13-08-2021,22-08-2021,9
C792602L,21-09-2021,09-06-2021,-104
C550308L,06-11-2021,27-11-2021,21
C506034L,17-07-2021,17-07-2021,0
C491779L,23-06-2022,18-06-2022,-5
C248634L,17-09-2021,17-07-2022,303
C274718L,17-07-2021,31-07-2021,14
C180533L,23-08-2021,10-02-2021,-194
C374672L,17-07-2021,10-02-2021,-157
C684531L,10-07-2021,20-07-2021,10
C206125L,19-08-2021,10-03-2021,-162
C399241L,18-07-2021,05-07-2022,352
C810568L,10-05-2022,26-05-2022,16
C454203L,12-09-2021,09-12-2021,88
C964914L,12-04-2022,07-11-2022,209
C299472L,20-11-2021,28-12-2021,38
C263996L,13-07-2021,15-07-2021,2
C835246L,22-08-2021,08-05-2021,-106
C531871L,03-07-2022,16-07-2022,13
C306006L,23-03-2022,03-07-2022,102
C270876L,15-02-2022,02-01-2022,-44
C404912L,16-01-2022,17-01-2022,1
C986391L,28-09-2021,08-10-2022,375
C974256L,01-06-2022,20-06-2022,19
C349194L,11-11-2021,11-06-2021,-153
C476999L,14-03-2022,05-10-2022,205
C411258L,17-09-2021,30-12-2021,104
C310022L,12-11-2021,03-08-2022,264
C694973L,05-07-2021,16-07-2021,11
C904633L,19-05-2022,17-05-2022,-2
C500989L,02-07-2022,08-01-2022,-175
C226151L,04-07-2021,12-09-2021,70
C501323L,21-07-2022,23-07-2022,2
C741634L,09-07-2021,11-03-2021,-120
C299530L,22-08-2021,28-08-2021,6
C215028L,05-12-2021,15-12-2021,10
C198982L,24-09-2021,23-09-2021,-1
C985957L,13-01-2022,15-01-2022,2
C134052L,13-08-2022,08-07-2022,-36
C613601L,02-07-2021,08-04-2021,-85
C594573L,18-03-2022,03-11-2022,230
C525405L,24-07-2021,07-01-2021,-198
C432189L,10-06-2022,16-06-2022,6
C399834L,26-10-2021,10-05-2021,-169
C531144L,10-12-2021,12-08-2021,-120
C321785L,11-02-2022,05-10-2022,236
C978527L,03-01-2022,30-01-2022,27
C241633L,09-01-2022,17-01-2022,8
C229632L,07-07-2021,26-02-2022,234
C421798L,16-10-2021,26-10-2021,10
C952778L,15-07-2021,12-02-2021,-153
C821190L,02-02-2022,26-02-2022,24
C489601L,17-01-2022,01-09-2022,227
C881612L,13-03-2022,13-04-2022,31
C194185L,28-07-2021,13-07-2021,-15
C773709L,08-11-2021,16-11-2021,8
C609115L,12-12-2021,12-07-2021,-153
C969315L,09-07-2021,27-08-2021,49
C396025L,06-07-2021,07-06-2021,-29
C136019L,10-02-2022,02-12-2022,295
C625394L,26-11-2021,14-12-2021,18
C855607L,01-06-2022,25-06-2022,24
C900833L,02-07-2021,29-07-2021,27
C242231L,22-09-2021,11-01-2021,-254
C563598L,25-04-2022,27-04-2022,2
C223799L,22-11-2021,12-02-2021,-283
C573424L,16-07-2021,24-07-2021,8
C823189L,16-07-2021,17-07-2021,1
C902445L,18-02-2022,25-02-2022,7
C136210L,21-09-2021,10-12-2021,80
C676393L,27-07-2021,09-10-2021,74
C574921L,25-09-2021,11-04-2021,-167
C601525L,09-01-2022,29-06-2022,171
C909114L,24-12-2021,12-10-2021,-73
C527307L,04-10-2021,15-10-2021,11
C573345L,14-07-2021,07-04-2021,-98
C699837L,27-01-2022,26-03-2022,58
C902527L,27-08-2021,08-04-2021,-141
C588147L,09-11-2021,21-11-2021,12
C619471L,02-07-2021,07-03-2021,-117
C955726L,23-07-2021,07-01-2021,-197
C891022L,08-09-2021,09-12-2021,92
C560607L,18-03-2022,19-03-2022,1
C146794L,21-05-2022,07-06-2022,17
C249412L,21-09-2021,05-12-2022,440
C493986L,26-07-2021,13-07-2021,-13
C975490L,02-08-2022,08-05-2022,-86
C275052L,04-01-2022,05-05-2022,121
C188448L,18-05-2022,06-04-2022,-42
C576032L,15-08-2021,09-11-2021,86
C132488L,09-12-2021,31-12-2021,22
C931355L,15-10-2021,29-10-2021,14
C244068L,25-04-2022,04-06-2022,40
C652874L,15-11-2021,03-05-2022,169
C847874L,27-10-2021,13-05-2022,198
C618204L,20-06-2022,29-06-2022,9
C693323L,18-05-2022,18-06-2022,31
C180913L,20-07-2021,29-07-2021,9
C451335L,11-06-2022,06-11-2022,148
C506838L,08-01-2022,02-01-2022,-6
C291014L,08-11-2021,15-01-2022,68
C780898L,17-11-2021,25-04-2022,159
C481253L,26-07-2021,09-02-2021,-167
C752800L,03-08-2021,08-02-2021,-176
C469899L,28-09-2021,15-10-2021,17
C441237L,19-07-2021,07-10-2021,80
C334571L,25-02-2022,03-01-2022,-53
C506704L,27-11-2021,24-11-2021,-3
C487528L,22-02-2022,18-02-2022,-4
C290251L,16-07-2022,07-05-2022,-70
C655017L,01-09-2021,05-05-2022,246
C143245L,10-04-2022,07-03-2022,-34
C118563L,07-06-2022,06-10-2022,121
C559026L,17-05-2022,20-05-2022,3
C314803L,01-11-2021,07-07-2022,248
C993393L,28-07-2021,25-07-2021,-3
C342440L,24-07-2021,23-08-2021,30
C587254L,26-06-2022,16-07-2022,20
C810915L,16-12-2021,12-11-2021,-34
C766077L,21-04-2022,23-04-2022,2
C148479L,22-12-2021,12-12-2021,-10
C423808L,09-10-2021,20-10-2021,11
C591135L,25-11-2021,07-09-2022,286
C412936L,16-07-2021,12-10-2021,88
C714340L,06-01-2022,26-06-2022,171
C790408L,01-11-2021,17-11-2021,16
C255099L,10-06-2022,28-06-2022,18
C687663L,10-09-2021,30-01-2022,142
C111808L,23-05-2022,13-05-2022,-10
C414907L,26-07-2022,08-02-2022,-168
C729711L,03-02-2022,30-03-2022,55
C635495L,07-12-2021,05-11-2022,333
C985354L,02-10-2021,12-04-2021,-173
C949083L,08-11-2021,13-04-2022,156
C458563L,13-06-2022,06-06-2022,-7
C312529L,09-09-2021,05-02-2022,149
C985612L,28-01-2022,31-01-2022,3
C389745L,25-12-2021,25-12-2021,0
C814229L,13-07-2021,11-04-2021,-93
C995583L,02-03-2022,21-03-2022,19
C142435L,05-10-2021,29-05-2022,236
C717221L,13-07-2021,10-04-2021,-94
C251306L,07-11-2021,30-11-2021,23
C407736L,08-07-2021,07-09-2022,426
C479915L,22-01-2022,01-10-2022,252
C398448L,12-01-2022,20-01-2022,8
C357709L,26-09-2021,14-09-2021,-12
C267737L,15-11-2021,12-07-2021,-126
C853448L,05-05-2022,07-03-2022,-59
C241017L,28-07-2021,07-12-2021,132
C216417L,03-12-2021,21-12-2021,18
C273843L,20-04-2022,04-03-2022,-47
C862619L,03-03-2022,22-04-2022,50
C218616L,19-07-2021,19-12-2021,153
C560369L,24-07-2022,14-07-2022,-10
C777089L,01-08-2021,08-10-2021,68
C953171L,18-07-2021,17-07-2021,-1
C268365L,21-07-2022,07-09-2022,48
C499919L,05-12-2021,21-01-2022,47
C405631L,05-11-2021,12-03-2021,-238
C836000L,12-06-2022,28-06-2022,16
C564260L,23-02-2022,13-03-2022,18
C838657L,13-01-2022,05-01-2022,-8
C128765L,07-11-2021,08-12-2022,396
C508330L,16-07-2022,07-09-2022,53
C140984L,13-07-2021,19-07-2021,6
C143684L,05-07-2021,09-01-2021,-177
C160662L,14-02-2022,16-02-2022,2
C425949L,08-08-2021,08-03-2021,-153
C914093L,04-07-2021,10-01-2021,-175
C942248L,17-08-2021,08-10-2021,52
C395230L,16-11-2021,16-11-2021,0
C349501L,02-07-2021,09-01-2021,-174
C238059L,14-09-2021,09-02-2021,-217
C654035L,08-07-2021,07-05-2021,-62
C547048L,23-01-2022,06-03-2022,42
C200115L,12-07-2021,14-07-2021,2
C610697L,01-07-2021,13-07-2021,12
C196682L,09-05-2022,25-05-2022,16
C499900L,23-09-2021,09-01-2021,-257
C942292L,16-08-2021,18-02-2022,186
C525088L,25-07-2021,07-08-2021,13
C395899L,16-12-2021,18-01-2022,33
C156665L,22-03-2022,04-07-2022,104
C158367L,16-07-2021,16-07-2021,0
C346638L,25-09-2021,10-06-2021,-107
C121106L,04-07-2021,11-03-2021,-115
C361277L,05-08-2021,31-08-2021,26
C675381L,03-10-2021,10-06-2021,-115
C539850L,14-01-2022,26-01-2022,12
C244418L,01-09-2021,29-09-2021,28
C154874L,21-07-2021,11-12-2021,143
C165124L,01-04-2022,05-11-2022,218
C574758L,26-07-2022,08-07-2022,-18
C220911L,18-09-2021,18-09-2021,0
C117901L,10-07-2022,22-07-2022,12
C565100L,07-05-2022,08-08-2022,93
C513311L,23-11-2021,08-06-2022,197
C506825L,10-07-2021,04-12-2022,512
C115342L,17-06-2022,21-06-2022,4
C720927L,17-07-2021,08-01-2021,-190
C776900L,08-08-2021,08-12-2021,122
C596112L,02-07-2022,24-07-2022,22
C933325L,12-11-2021,22-11-2021,10
C943785L,24-06-2022,24-06-2022,0
C188782L,20-07-2021,08-01-2021,-193
C796146L,21-08-2021,30-08-2021,9
C210105L,10-11-2021,15-01-2022,66
C370659L,05-08-2021,16-08-2021,11
C358518L,19-08-2021,08-10-2021,50
C790532L,26-11-2021,26-11-2021,0
C813497L,14-05-2022,18-05-2022,4
C893754L,03-07-2021,10-05-2021,-54
C484667L,14-07-2021,15-07-2021,1
C509164L,15-07-2021,18-12-2021,156
C283740L,03-05-2022,16-05-2022,13
C220767L,19-02-2022,02-08-2022,164
C164245L,14-08-2021,09-09-2021,26
C573426L,07-07-2022,07-11-2022,123
C426893L,22-09-2021,20-09-2021,-2
C144948L,12-08-2021,25-08-2021,13
C447557L,07-08-2021,28-10-2021,82
C322598L,17-05-2022,05-03-2022,-73
C388719L,24-05-2022,23-06-2022,30
C352487L,24-07-2021,10-04-2021,-105
C394803L,08-10-2021,10-08-2021,-59
C510008L,08-11-2021,26-11-2021,18
C922780L,17-09-2021,14-02-2022,150
C118268L,20-02-2022,13-06-2022,113
C757268L,28-03-2022,16-03-2022,-12
C968962L,09-11-2021,17-11-2021,8
C923141L,08-05-2022,20-07-2022,73
C995819L,21-07-2022,08-01-2022,-194
C890940L,28-09-2021,28-09-2021,0
C543271L,21-10-2021,11-06-2021,-132
C422171L,22-04-2022,05-02-2022,-76
C333323L,11-07-2021,22-07-2021,11
C481492L,15-07-2022,26-07-2022,11
C671834L,04-11-2021,19-06-2022,227
C193256L,06-05-2022,31-05-2022,25
C208458L,10-10-2021,11-12-2021,62
C782890L,14-07-2022,07-07-2022,-7
C164598L,23-10-2021,21-12-2021,59
C354051L,02-01-2022,14-02-2022,43
C515428L,22-08-2021,26-08-2021,4
C869172L,20-01-2022,13-01-2022,-7
C904399L,16-05-2022,05-04-2022,-41
C942237L,11-09-2021,09-12-2021,89
C177455L,05-11-2021,21-06-2022,228
C453900L,14-10-2021,18-10-2021,4
C122065L,05-11-2021,08-12-2022,398
C864263L,28-03-2022,30-03-2022,2
C862302L,24-01-2022,22-03-2022,57
C174885L,13-02-2022,02-12-2022,292
C674615L,20-08-2021,19-08-2021,-1
C298804L,21-10-2021,24-03-2022,154
C840567L,01-07-2021,16-07-2021,15
C145587L,16-08-2021,26-08-2021,10
C533411L,26-08-2021,23-08-2021,-3
C699636L,22-09-2021,16-09-2021,-6
C848774L,07-11-2021,20-05-2022,194
C561770L,26-11-2021,06-10-2022,314
C861468L,19-08-2021,05-01-2022,139
C332643L,24-05-2022,26-05-2022,2
C172015L,23-12-2021,14-12-2021,-9
C556591L,24-08-2021,29-08-2021,5
C159964L,21-08-2021,13-08-2021,-8
C780258L,12-08-2022,08-01-2022,-216
C665146L,27-06-2022,06-08-2022,40
C413469L,09-06-2022,08-10-2022,121
C463842L,16-10-2021,12-11-2021,27
C530632L,02-12-2021,12-10-2021,-51
C671304L,24-05-2022,19-05-2022,-5
C427092L,06-07-2021,07-08-2021,32
C767192L,19-03-2022,03-09-2022,168
C326415L,01-06-2022,27-06-2022,26
C349467L,21-02-2022,14-02-2022,-7
C637883L,13-03-2022,03-05-2022,51
C311476L,20-11-2021,15-11-2021,-5
C142496L,21-08-2021,08-02-2021,-194
C143396L,06-06-2022,06-05-2022,-31
C905006L,12-12-2021,12-03-2021,-275
C976890L,22-07-2021,31-07-2022,374
C935068L,01-01-2022,28-01-2022,27
C563862L,21-07-2022,14-07-2022,-7
C899610L,25-12-2021,17-03-2022,82
C507015L,27-03-2022,15-03-2022,-12
C555864L,17-11-2021,11-10-2021,-37
C654029L,19-03-2022,18-04-2022,30
C726270L,06-08-2021,09-09-2021,34
C635102L,24-10-2021,11-01-2021,-286
C943932L,22-03-2022,20-06-2022,90
C678257L,23-07-2021,10-07-2021,-13
C501840L,14-03-2022,04-02-2022,-38
C835970L,25-02-2022,03-03-2022,6
C976390L,10-07-2022,20-07-2022,10
C418238L,13-09-2021,24-09-2021,11
C370534L,22-05-2022,13-05-2022,-9
C790722L,19-11-2021,06-07-2022,229
C256400L,06-07-2022,28-07-2022,22
C330641L,19-05-2022,30-05-2022,11
C576889L,04-07-2021,07-07-2021,3
C137982L,02-04-2022,16-04-2022,14
C773779L,02-08-2022,08-01-2022,-206
C276338L,06-07-2021,12-10-2021,98
C293590L,19-08-2021,07-08-2022,353
C416181L,20-10-2021,19-10-2021,-1
C571352L,12-03-2022,03-12-2022,266
C326471L,18-08-2021,29-10-2021,72
C765760L,16-07-2022,18-07-2022,2
C745738L,25-08-2021,20-08-2021,-5
C264319L,04-06-2022,06-04-2022,-59
C412333L,20-11-2021,11-06-2021,-162
C851730L,18-09-2021,09-04-2021,-162
C419203L,20-03-2022,03-09-2022,167
C361493L,28-06-2022,13-06-2022,-15
C170264L,25-11-2021,02-04-2022,128
C271135L,08-05-2022,30-05-2022,22
C516599L,10-01-2022,08-02-2022,29
C581597L,02-07-2022,31-07-2022,29
C744728L,08-03-2022,03-09-2022,179
C881387L,08-05-2022,30-07-2022,83
C367336L,27-11-2021,22-11-2021,-5
C190534L,09-09-2021,13-09-2021,4
C540782L,03-09-2021,10-03-2021,-177
C784177L,07-04-2022,28-04-2022,21
C946407L,25-11-2021,11-09-2021,-75
C505840L,07-09-2021,17-09-2021,10
C664224L,02-08-2021,09-04-2021,-115
C896308L,20-07-2021,15-07-2021,-5
C602518L,01-07-2021,07-10-2021,98
C228201L,01-10-2021,24-10-2021,23
C912653L,25-07-2021,07-01-2021,-199
C627638L,02-07-2021,25-09-2021,85
C866250L,27-03-2022,03-12-2022,251
C333379L,14-03-2022,17-03-2022,3
C201592L,05-08-2021,23-10-2021,79
C975259L,22-09-2021,19-09-2021,-3
C584166L,11-07-2021,20-07-2021,9
C852181L,12-07-2022,07-08-2022,26
C640667L,11-04-2022,25-04-2022,14
C854145L,19-07-2021,09-06-2021,-40
C485577L,25-07-2021,26-08-2021,32
C631900L,23-07-2021,07-12-2021,137
C337105L,15-10-2021,10-09-2021,-35
C699058L,20-07-2022,07-10-2022,79
C765319L,15-03-2022,15-03-2022,0
C223672L,14-07-2021,07-10-2021,85
C550002L,28-09-2021,19-09-2021,-9
C880300L,07-11-2021,15-01-2022,69
C513701L,26-01-2022,01-05-2022,95
C932902L,14-08-2021,15-08-2021,1
C332716L,13-07-2021,08-01-2021,-186
C319891L,28-08-2021,09-02-2021,-200
C333472L,01-09-2021,09-04-2021,-145
C411331L,19-07-2021,12-03-2021,-129
C682985L,03-10-2021,11-09-2021,-22
C776994L,05-09-2021,21-09-2021,16
C546754L,15-09-2021,30-05-2022,257
C875370L,15-12-2021,29-12-2021,14
C383629L,27-01-2022,01-02-2022,5
C833283L,14-06-2022,27-06-2022,13
C195629L,01-11-2021,11-12-2021,40
C758391L,12-01-2022,01-03-2022,48
C305773L,07-11-2021,20-11-2021,13
C861081L,03-08-2021,22-08-2021,19
C866999L,11-08-2021,08-08-2021,-3
C978790L,22-06-2022,06-06-2022,-16
C492850L,09-07-2021,09-01-2021,-181
C551324L,08-12-2021,12-05-2021,-210
C464050L,25-07-2021,15-08-2021,21
C360482L,12-12-2021,13-12-2021,1
C763722L,15-11-2021,11-05-2021,-188
C817637L,25-04-2022,05-05-2022,10
C371890L,27-03-2022,04-01-2022,-82
C196853L,11-01-2022,01-05-2022,110
C989951L,25-11-2021,15-06-2022,202
C955839L,06-10-2021,13-10-2021,7
C600734L,27-09-2021,18-09-2021,-9
C185914L,25-11-2021,04-05-2022,160
C247649L,05-12-2021,18-12-2021,13
C466172L,28-07-2021,28-07-2021,0
C707264L,11-11-2021,29-07-2022,260
C854773L,22-02-2022,02-11-2022,253
C725097L,15-08-2021,08-07-2021,-38
C755600L,06-07-2021,08-05-2021,-59
C319814L,07-07-2022,20-07-2022,13
C296844L,21-02-2022,13-02-2022,-8
C448037L,15-11-2021,22-11-2021,7
C735415L,14-02-2022,05-09-2022,203
C713589L,07-07-2021,12-09-2021,67
C794109L,17-09-2021,25-09-2021,8
C908781L,12-03-2022,15-03-2022,3
C774989L,15-04-2022,04-10-2022,172
